"keys","es","en","pt_BR","fr"
"BTN_PLAY","JUGAR","PLAY","JOGAR","JOUER"
"BTN_UPGRADES","MEJORAS","UPGRADES","MELHORIAS","AMÉLIORATIONS"
"BTN_SETTINGS","CONFIGURACION","SETTINGS","CONFIGURAÇÕES","PARAMÈTRES"
"BTN_BACK","Volver","Back","Voltar","Retour"
"BTN_CLOSE","Cerrar","Close","Fechar","Fermer"
"BTN_START_WAVE","INICIAR OLEADA","START WAVE","INICIAR ONDA","LANCER LA VAGUE"
"BTN_UPGRADE_COST","Mejorar ($%d)","Upgrade ($%d)","Melhorar ($%d)","Améliorer ($%d)"
"BTN_SELL_COST","Vender ($%d)","Sell ($%d)","Vender ($%d)","Vendre ($%d)"
"BTN_BUY_COST","Comprar $%d","Buy $%d","Comprar $%d","Acheter $%d"
"BTN_RESUME","Continuar","Resume","Continuar","Reprendre"
"BTN_RESTART","Reiniciar","Restart","Reiniciar","Recommencer"
"BTN_MAIN_MENU","Menu Principal","Main Menu","Menu Principal","Menu Principal"
"BTN_RETRY","Reintentar","Retry","Tentar Novamente","Réessayer"
"BTN_PLAY_AGAIN","Jugar de nuevo","Play Again","Jogar Novamente","Rejouer"
"BTN_NEXT","Siguiente","Next","Próximo","Suivant"
"BTN_GOT_IT","Entendido","Got it","Entendi","Compris"
"LABEL_MAX_LEVEL","Nivel maximo","Max level","Nível máximo","Niveau max"
"LABEL_LEVEL","Nivel %d/%d","Level %d/%d","Nível %d/%d","Niveau %d/%d"
"LABEL_WAVE","Oleada %d/%d","Wave %d/%d","Onda %d/%d","Vague %d/%d"
"LABEL_TOWER_STATS","Dano: %.0f   Rango: %.0f","Damage: %.0f   Range: %.0f","Dano: %.0f   Alcance: %.0f","Dégâts : %.0f   Portée : %.0f"
"LABEL_TIPS","Propinas: %d","Tips: %d","Gorjetas: %d","Pourboires : %d"
"MENU_SUBTITLE","Defiende la barra de la taqueria","Defend the taco stand","Defenda o balcão da taqueria","Défendez le comptoir du taqueria"
"MENU_STATS","Mejor oleada: %d/%d   Victorias: %d","Best wave: %d/%d   Wins: %d","Melhor onda: %d/%d   Vitórias: %d","Meilleure vague : %d/%d   Victoires : %d"
"TITLE_UPGRADES","Mejoras Permanentes","Permanent Upgrades","Melhorias Permanentes","Améliorations Permanentes"
"TITLE_PAUSE","PAUSA","PAUSED","PAUSA","PAUSE"
"TITLE_GAME_OVER","LA TAQUERIA CAYO","THE TAQUERIA HAS FALLEN","A TAQUERIA CAIU","LE TAQUERIA EST TOMBÉ"
"TITLE_VICTORY","TAQUERIA A SALVO!","TAQUERIA SAVED!","TAQUERIA A SALVO!","TAQUERIA SAUVÉ !"
"TITLE_SETTINGS","Configuracion","Settings","Configurações","Paramètres"
"LABEL_GAME_OVER_STATS","Llegaste a la oleada %d/%d[BR]Oro final: $%d","You reached wave %d/%d[BR]Final gold: $%d","Você chegou à onda %d/%d[BR]Ouro final: $%d","Vous avez atteint la vague %d/%d[BR]Or final : $%d"
"LABEL_VICTORY_STATS","Sobreviviste las %d oleadas![BR]Propinas totales: %d","You survived all %d waves![BR]Total tips: %d","Você sobreviveu a %d ondas![BR]Gorjetas totais: %d","Vous avez survécu aux %d vagues ![BR]Pourboires totaux : %d"
"TOAST_CELL_UNAVAILABLE","Casilla no disponible","Cell not available","Célula indisponível","Case indisponible"
"TOAST_INSUFFICIENT_GOLD","Oro insuficiente","Not enough gold","Ouro insuficiente","Or insuffisant"
"TOAST_UPGRADE_FAILED","No se pudo mejorar","Couldn't upgrade","Não foi possível melhorar","Amélioration impossible"
"TOAST_SELL_FAILED","No se pudo vender","Couldn't sell","Não foi possível vender","Vente impossible"
"TOAST_INSUFFICIENT_TIPS","Propinas insuficientes","Not enough tips","Gorjetas insuficientes","Pourboires insuffisants"
"UPGRADE_NAME_DAMAGE","Salsa Mas Picante (+5% dano)","Spicier Salsa (+5% damage)","Molho Mais Picante (+5% dano)","Salsa Plus Épicée (+5% dégâts)"
"UPGRADE_NAME_RANGE","Vista de Aguila (+5% rango)","Eagle Eye (+5% range)","Visão de Águia (+5% alcance)","Œil d'Aigle (+5% portée)"
"UPGRADE_NAME_COOLDOWN","Despacho Rapido (-3% cooldown)","Fast Service (-3% cooldown)","Atendimento Rápido (-3% recarga)","Service Rapide (-3% recharge)"
"UPGRADE_NAME_TIPS","Clientes Generosos (+10% propinas)","Generous Customers (+10% tips)","Clientes Generosos (+10% gorjetas)","Clients Généreux (+10% pourboires)"
"UPGRADE_NAME_BASE_HP","Barra Blindada (+1 vida)","Armored Counter (+1 life)","Balcão Blindado (+1 vida)","Comptoir Blindé (+1 vie)"
"TOWER_NAME_SALSA_VERDE","Salsa Verde","Green Salsa","Molho Verde","Salsa Verte"
"TOWER_NAME_HIELO_HORCHATA","Hielo Horchata","Horchata Ice","Gelo de Horchata","Glace Horchata"
"TOWER_NAME_CATAPULTA_GUAC","Guacapulta","Guac Catapult","Catapulta de Guacamole","Catapulte Guac"
"FTUE_1","Toca un ingrediente abajo y luego una casilla libre del camino para construir una torre.","Tap an ingredient below, then an open cell on the path to build a tower.","Toque em um ingrediente abaixo e depois em uma célula livre do caminho para construir uma torre.","Touchez un ingrédient ci-dessous puis une case libre du chemin pour construire une tour."
"FTUE_2","Cuando estes listo, toca INICIAR OLEADA (o espera 5s). Arrastra para ver mas del camino.","When ready, tap START WAVE (or wait 5s). Drag to see more of the path.","Quando estiver pronto, toque em INICIAR ONDA (ou espere 5s). Arraste para ver mais do caminho.","Quand vous êtes prêt, appuyez sur LANCER LA VAGUE (ou attendez 5s). Glissez pour voir plus du chemin."
"FTUE_3","Toca una torre construida para ver su rango, mejorarla o venderla. Defiende la barra!","Tap a built tower to see its range, upgrade it, or sell it. Defend the counter!","Toque em uma torre construída para ver seu alcance, melhorá-la ou vendê-la. Defenda o balcão!","Touchez une tour construite pour voir sa portée, l'améliorer ou la vendre. Défendez le comptoir !"
"SETTINGS_SOUND_ON","Sonido: ON","Sound: ON","Som: LIGADO","Son : ACTIVÉ"
"SETTINGS_SOUND_OFF","Sonido: OFF","Sound: OFF","Som: DESLIGADO","Son : DÉSACTIVÉ"
"SETTINGS_LANGUAGE","Idioma","Language","Idioma","Langue"
"FTUE_TITLE","Como jugar","How to play","Como jogar","Comment jouer"
"BTN_LEVELS","NIVELES","LEVELS","NIVEIS","NIVEAUX"
"TITLE_LEVEL_SELECT","Seleccionar Nivel","Select Level","Selecionar Nivel","Sélectionner un Niveau"
"BTN_LEVEL_LOCKED","Bloqueado","Locked","Bloqueado","Verrouillé"
"BTN_LEVEL_REPLAY","Rejugar","Replay","Rejogar","Rejouer"
"BTN_NEXT_LEVEL","Siguiente Nivel","Next Level","Próximo Nível","Niveau Suivant"
"LABEL_UPGRADE_REMINDER","Recuerda: puedes comprar mejoras permanentes con tus propinas","Remember: you can buy permanent upgrades with your tips","Lembre-se: você pode comprar melhorias permanentes com suas gorjetas","Rappel : vous pouvez acheter des améliorations permanentes avec vos pourboires"
"LEVEL_NAME_0","Sendero de Piedra","Stone Path","Caminho de Pedra","Sentier de Pierre"
"LEVEL_NAME_1","Dunas Ardientes","Blazing Dunes","Dunas Ardentes","Dunes Brûlantes"
"LEVEL_NAME_2","Paso Helado","Frozen Pass","Passagem Congelada","Col Gelé"
"LEVEL_NAME_3","Selva Profunda","Deep Jungle","Selva Profunda","Jungle Profonde"
"LEVEL_NAME_4","Crater Ardiente","Blazing Crater","Cratera Ardente","Cratère Ardent"
"LEVEL_NAME_5","Costa Salada","Salty Coast","Costa Salgada","Côte Salée"
"LEVEL_NAME_6","Pantano Sombrio","Gloomy Swamp","Pântano Sombrio","Marais Sombre"
"LEVEL_NAME_7","Vigilia Nocturna","Night Watch","Vigília Noturna","Veille Nocturne"
"LEVEL_NAME_8","Bosque Otonal","Autumn Forest","Floresta de Outono","Forêt d'Automne"
"LEVEL_NAME_9","Camino Dorado","Golden Road","Caminho Dourado","Route Dorée"
"TOWER_NAME_CHILE_HABANERO","Chile Habanero","Habanero Chili","Pimenta Habanero","Piment Habanero"
"TOWER_NAME_QUESO_FUNDIDO","Queso Fundido","Melted Cheese","Queijo Derretido","Fromage Fondu"
"TOWER_NAME_PICO_GALLO","Pico de Gallo","Pico de Gallo","Pico de Gallo","Pico de Gallo"
"BTN_WEAPON_SHOP","ARMAS","WEAPONS","ARMAS","ARMES"
"BTN_LOADOUT","MI EQUIPO","MY LOADOUT","MINHA EQUIPE","MON ÉQUIPE"
"TITLE_WEAPON_SHOP","Tienda de Armas","Weapon Shop","Loja de Armas","Boutique d'Armes"
"TITLE_LOADOUT","Mi Equipo","My Loadout","Minha Equipe","Mon Équipe"
"LABEL_UNLOCKED","Desbloqueada","Unlocked","Desbloqueada","Débloquée"
"BTN_UNLOCK_COST","Desbloquear ($%d)","Unlock ($%d)","Desbloquear ($%d)","Débloquer ($%d)"
"BTN_SELECT","Elegir","Select","Escolher","Choisir"
"BTN_SELECTED","Elegida","Selected","Escolhida","Choisie"
"BTN_SAVE_LOADOUT","Guardar Equipo","Save Loadout","Salvar Equipe","Enregistrer l'Équipe"
"LABEL_LOADOUT_COUNT","%d/%d torres elegidas","%d/%d towers selected","%d/%d torres escolhidas","%d/%d tours sélectionnées"
"TOAST_LOADOUT_FULL","Ya elegiste 3 torres","You already picked 3 towers","Você já escolheu 3 torres","Vous avez déjà choisi 3 tours"
"TOAST_LOADOUT_SAVED","Equipo guardado","Loadout saved","Equipe salva","Équipe enregistrée"
